Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,isPasswordCredentialGrantAllowed,Long Identifier,The length of the field passwordCredentialGrantAllowed is 30.,542
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,isUpdateProfileOnInitialSocialLogin,Long Identifier,The length of the field updateProfileOnInitialSocialLogin is 33.,615
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,addIdentityProvider,Long Identifier,The length of the parameter identityProviderRepresentation is 30.,848
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicySignatureAlgorithms,Long Identifier,The length of the field webAuthnPolicySignatureAlgorithms is 33.,1000
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicySignatureAlgorithms,Long Identifier,The length of the parameter webAuthnPolicySignatureAlgorithms is 33.,1004
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicySignatureAlgorithms,Long Identifier,The length of the field webAuthnPolicySignatureAlgorithms is 33.,1004
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyAttestationConveyancePreference,Long Identifier,The length of the field webAuthnPolicyAttestationConveyancePreference is 45.,1016
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAttestationConveyancePreference,Long Identifier,The length of the parameter webAuthnPolicyAttestationConveyancePreference is 45.,1020
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAttestationConveyancePreference,Long Identifier,The length of the field webAuthnPolicyAttestationConveyancePreference is 45.,1020
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyAuthenticatorAttachment,Long Identifier,The length of the field webAuthnPolicyAuthenticatorAttachment is 37.,1024
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAuthenticatorAttachment,Long Identifier,The length of the parameter webAuthnPolicyAuthenticatorAttachment is 37.,1028
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAuthenticatorAttachment,Long Identifier,The length of the field webAuthnPolicyAuthenticatorAttachment is 37.,1028
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyRequireResidentKey,Long Identifier,The length of the field webAuthnPolicyRequireResidentKey is 32.,1032
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyRequireResidentKey,Long Identifier,The length of the parameter webAuthnPolicyRequireResidentKey is 32.,1036
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyRequireResidentKey,Long Identifier,The length of the field webAuthnPolicyRequireResidentKey is 32.,1036
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyUserVerificationRequirement,Long Identifier,The length of the field webAuthnPolicyUserVerificationRequirement is 41.,1040
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyUserVerificationRequirement,Long Identifier,The length of the parameter webAuthnPolicyUserVerificationRequirement is 41.,1044
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyUserVerificationRequirement,Long Identifier,The length of the field webAuthnPolicyUserVerificationRequirement is 41.,1044
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,isWebAuthnPolicyAvoidSameAuthenticatorRegister,Long Identifier,The length of the field webAuthnPolicyAvoidSameAuthenticatorRegister is 44.,1056
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAvoidSameAuthenticatorRegister,Long Identifier,The length of the parameter webAuthnPolicyAvoidSameAuthenticatorRegister is 44.,1060
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAvoidSameAuthenticatorRegister,Long Identifier,The length of the field webAuthnPolicyAvoidSameAuthenticatorRegister is 44.,1060
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyAcceptableAaguids,Long Identifier,The length of the field webAuthnPolicyAcceptableAaguids is 31.,1064
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAcceptableAaguids,Long Identifier,The length of the parameter webAuthnPolicyAcceptableAaguids is 31.,1068
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyAcceptableAaguids,Long Identifier,The length of the field webAuthnPolicyAcceptableAaguids is 31.,1068
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessRpEntityName,Long Identifier,The length of the field webAuthnPolicyPasswordlessRpEntityName is 38.,1075
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRpEntityName,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessRpEntityName is 38.,1079
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRpEntityName,Long Identifier,The length of the field webAuthnPolicyPasswordlessRpEntityName is 38.,1079
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessSignatureAlgorithms,Long Identifier,The length of the field webAuthnPolicyPasswordlessSignatureAlgorithms is 45.,1083
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessSignatureAlgorithms,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessSignatureAlgorithms is 45.,1087
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessSignatureAlgorithms,Long Identifier,The length of the field webAuthnPolicyPasswordlessSignatureAlgorithms is 45.,1087
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessRpId,Long Identifier,The length of the field webAuthnPolicyPasswordlessRpId is 30.,1091
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRpId,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessRpId is 30.,1095
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRpId,Long Identifier,The length of the field webAuthnPolicyPasswordlessRpId is 30.,1095
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessAttestationConveyancePreference,Long Identifier,The length of the field webAuthnPolicyPasswordlessAttestationConveyancePreference is 57.,1099
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAttestationConveyancePreference,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessAttestationConveyancePreference is 57.,1103
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAttestationConveyancePreference,Long Identifier,The length of the field webAuthnPolicyPasswordlessAttestationConveyancePreference is 57.,1103
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAttestationConveyancePreference,Long Statement,"The length of the statement ""this.webAuthnPolicyPasswordlessAttestationConveyancePreference=webAuthnPolicyPasswordlessAttestationConveyancePreference;"" is 121.",1103
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessAuthenticatorAttachment,Long Identifier,The length of the field webAuthnPolicyPasswordlessAuthenticatorAttachment is 49.,1107
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAuthenticatorAttachment,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessAuthenticatorAttachment is 49.,1111
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAuthenticatorAttachment,Long Identifier,The length of the field webAuthnPolicyPasswordlessAuthenticatorAttachment is 49.,1111
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessRequireResidentKey,Long Identifier,The length of the field webAuthnPolicyPasswordlessRequireResidentKey is 44.,1115
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRequireResidentKey,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessRequireResidentKey is 44.,1119
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessRequireResidentKey,Long Identifier,The length of the field webAuthnPolicyPasswordlessRequireResidentKey is 44.,1119
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessUserVerificationRequirement,Long Identifier,The length of the field webAuthnPolicyPasswordlessUserVerificationRequirement is 53.,1123
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessUserVerificationRequirement,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessUserVerificationRequirement is 53.,1127
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessUserVerificationRequirement,Long Identifier,The length of the field webAuthnPolicyPasswordlessUserVerificationRequirement is 53.,1127
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessCreateTimeout,Long Identifier,The length of the field webAuthnPolicyPasswordlessCreateTimeout is 39.,1131
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessCreateTimeout,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessCreateTimeout is 39.,1135
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessCreateTimeout,Long Identifier,The length of the field webAuthnPolicyPasswordlessCreateTimeout is 39.,1135
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,isWebAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister,Long Identifier,The length of the field webAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister is 56.,1139
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister is 56.,1143
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister,Long Identifier,The length of the field webAuthnPolicyPasswordlessAvoidSameAuthenticatorRegister is 56.,1143
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getWebAuthnPolicyPasswordlessAcceptableAaguids,Long Identifier,The length of the field webAuthnPolicyPasswordlessAcceptableAaguids is 43.,1147
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAcceptableAaguids,Long Identifier,The length of the parameter webAuthnPolicyPasswordlessAcceptableAaguids is 43.,1151
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setWebAuthnPolicyPasswordlessAcceptableAaguids,Long Identifier,The length of the field webAuthnPolicyPasswordlessAcceptableAaguids is 43.,1151
keycloak-config-cli,de.adorsys.keycloak.config,AbstractImportTest,getImport,Long Statement,"The length of the statement ""return keycloakImportProvider.readFromLocations(location).getRealmImports().get(location).entrySet().stream().findFirst().orElseThrow().getValue();"" is 147.",88
keycloak-config-cli,de.adorsys.keycloak.config.properties,ImportConfigProperties,ImportConfigProperties,Long Parameter List,The method has 8 parameters. ,65
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigProperties,KeycloakConfigProperties,Long Parameter List,The method has 13 parameters. ,72
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest,shouldPopulateConfigurationProperties,Magic Number,The method contains a magic number: 120,64
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest,shouldPopulateConfigurationProperties,Magic Number,The method contains a magic number: 20,64
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest,shouldPopulateConfigurationProperties,Magic Number,The method contains a magic number: 60L,64
keycloak-config-cli,de.adorsys.keycloak.config.properties,KeycloakConfigPropertiesTest,shouldPopulateConfigurationProperties,Magic Number,The method contains a magic number: 10L,64
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,setupVariableSubstitution,Long Statement,"The length of the statement ""StringLookup variableResolver=StringLookupFactory.INSTANCE.interpolatorStringLookup(StringLookupFactory.INSTANCE.functionStringLookup(environment::getProperty));"" is 161.",82
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,setupVariableSubstitution,Long Statement,"The length of the statement ""this.interpolator=StringSubstitutor.createInterpolator().setVariableResolver(variableResolver).setVariablePrefix(importConfigProperties.getVarSubstitution().getPrefix()).setVariableSuffix(importConfigProperties.getVarSubstitution().getSuffix()).setEnableSubstitutionInVariables(importConfigProperties.getVarSubstitution().isNested()).setEnableUndefinedVariableException(importConfigProperties.getVarSubstitution().isUndefinedIsError());"" is 436.",82
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,readFromLocations,Long Statement,"The length of the statement ""Map<String`List<RealmImport>> realmImport=Arrays.stream(resources).map(this::readResource).filter(this::filterEmptyResources).sorted(Map.Entry.comparingByKey()).map(this::substituteImportResource).map(this::readRealmImportFromImportResource).collect(Collectors.toMap(Map.Entry::getKey`Map.Entry::getValue`(oldValue`newValue) -> oldValue`LinkedHashMap::new));"" is 358.",99
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,filterExcludedResources,Complex Conditional,The conditional expression !this.importConfigProperties.getFiles().isIncludeHiddenFiles() && (file.isHidden() || FileUtils.hasHiddenAncestorDirectory(file)) is complex.,135
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,filterExcludedResources,Long Statement,"The length of the statement ""if (!this.importConfigProperties.getFiles().isIncludeHiddenFiles() && (file.isHidden() || FileUtils.hasHiddenAncestorDirectory(file))) {"" is 136.",135
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,filterExcludedResources,Long Statement,"The length of the statement ""return importConfigProperties.getFiles().getExcludes().stream().map(pattern -> pattern.startsWith(""**"") ? ""/"" + pattern : pattern).map(pattern -> !pattern.startsWith(""/**"") ? ""/**"" + pattern : pattern).map(pattern -> !pattern.startsWith(""/"") ? ""/"" + pattern : pattern).noneMatch(pattern -> {"" is 291.",135
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProvider,setupAuthentication,Magic Number,The method contains a magic number: 2,244
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,KeycloakProvider,Long Statement,"The length of the statement ""this.resteasyClient=ResteasyUtil.getClient(!this.properties.isSslVerify()`this.properties.getHttpProxy()`this.properties.getConnectTimeout()`this.properties.getReadTimeout());"" is 175.",64
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,getKeycloakWithRetry,Long Statement,"The length of the statement ""RetryPolicy<Keycloak> retryPolicy=new RetryPolicy<Keycloak>().withDelay(retryDelay).withMaxDuration(timeout).withMaxRetries(-1).onRetry(e -> logger.debug(""Attempt failure #{}: {}""`e.getAttemptCount()`e.getLastFailure().getMessage()));"" is 234.",117
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,getKeycloakWithRetry,Long Statement,"The length of the statement ""String message=MessageFormat.format(""Could not connect to keycloak in {0} seconds: {1}""`timeout.getSeconds()`e.getMessage());"" is 125.",117
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,getKeycloakInstance,Long Statement,"The length of the statement ""return KeycloakBuilder.builder().serverUrl(serverUrl).realm(properties.getLoginRealm()).clientId(properties.getClientId()).grantType(properties.getGrantType()).clientSecret(properties.getClientSecret()).username(properties.getUser()).password(properties.getPassword()).resteasyClient(resteasyClient).build();"" is 308.",150
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,checkServerVersion,Long Statement,"The length of the statement ""logger.warn(""Local keycloak-config-cli ({}-{}) and remote Keycloak ({}) may not compatible.""`getClass().getPackage().getImplementationVersion()`properties.getVersion()`getKeycloakVersion());"" is 190.",163
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakProvider,logout,Long Statement,"The length of the statement ""ResteasyWebTarget resteasyWebTarget=resteasyClient.target(properties.getUrl().toString()).path(""/realms/"" + properties.getLoginRealm() + ""/protocol/openid-connect/logout"");"" is 172.",188
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDirectorySorted,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")`matchesPattern("".+/1_update_realm\\.json"")`matchesPattern("".+/2_update_realm\\.json"")`matchesPattern("".+/4_update_realm\\.json"")`matchesPattern("".+/5_update_realm\\.json"")`matchesPattern("".+/6_update_realm\\.json"")`matchesPattern("".+/7_update_realm\\.json"")`matchesPattern("".+/9_update_realm\\.json"")));"" is 422.",78
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDirectorySortedWithoutHiddenFilesWithRegex,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")`matchesPattern("".+/1_update_realm\\.json"")`matchesPattern("".+/2_update_realm\\.json"")`matchesPattern("".+/4_update_realm\\.json"")`matchesPattern("".+/5_update_realm\\.json"")`matchesPattern("".+/6_update_realm\\.json"")`matchesPattern("".+/9_update_realm\\.json"")));"" is 379.",95
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromWildcardPattern,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")));"" is 121.",111
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromWildcardPatternWithDirectoryTraversal,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")));"" is 121.",121
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromRegexPattern,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")));"" is 121.",131
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDoubleWildcardPattern,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")`matchesPattern("".+/another/directory/1_update_realm\\.json"")`matchesPattern("".+/another/directory/2_update_realm\\.json"")`matchesPattern("".+/another/directory/3_update_realm\\.json"")`matchesPattern("".+/sub/directory/4_update_realm\\.json"")`matchesPattern("".+/sub/directory/5_update_realm\\.json"")`matchesPattern("".+/sub/directory/6_update_realm\\.json"")));"" is 475.",141
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromDoubleWildcardPatternWithoutPrependingSlash,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json"")`matchesPattern("".+/another/directory/1_update_realm\\.json"")`matchesPattern("".+/another/directory/2_update_realm\\.json"")`matchesPattern("".+/another/directory/3_update_realm\\.json"")`matchesPattern("".+/sub/directory/4_update_realm\\.json"")`matchesPattern("".+/sub/directory/5_update_realm\\.json"")`matchesPattern("".+/sub/directory/6_update_realm\\.json"")));"" is 475.",157
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromManyDirectories,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location1).keySet()`contains(matchesPattern("".+/sub/directory/4_update_realm\\.json"")`matchesPattern("".+/sub/directory/5_update_realm\\.json"")`matchesPattern("".+/sub/directory/6_update_realm\\.json"")`matchesPattern("".+/sub/directory/7_update_realm\\.yaml"")));"" is 307.",173
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromManyDirectories,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location2).keySet()`contains(matchesPattern("".+/another/directory/1_update_realm\\.json"")`matchesPattern("".+/another/directory/2_update_realm\\.json"")`matchesPattern("".+/another/directory/3_update_realm\\.json"")));"" is 262.",173
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromZipArchive,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json$"")`matchesPattern("".+/1_update_realm\\.json$"")`matchesPattern("".+/2_update_realm\\.json$"")`matchesPattern("".+/3_update_realm\\.json$"")`matchesPattern("".+/4_update_realm\\.json$"")`matchesPattern("".+/5_update_realm\\.json$"")));"" is 342.",192
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldReadLocalFilesFromZipArchiveWithRegex,Long Statement,"The length of the statement ""assertThat(keycloakImport.getRealmImports().get(location).keySet()`contains(matchesPattern("".+/0_create_realm\\.json$"")`matchesPattern("".+/1_update_realm\\.json$"")`matchesPattern("".+/2_update_realm\\.json$"")`matchesPattern("".+/4_update_realm\\.json$"")`matchesPattern("".+/5_update_realm\\.json$"")));"" is 298.",208
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnDirectory,Long Statement,"The length of the statement ""InvalidImportException exception=assertThrows(InvalidImportException.class`() -> keycloakImportProvider.readFromLocations(""classpath:import-files/import/""));"" is 157.",223
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnUnknownPath,Long Statement,"The length of the statement ""InvalidImportException exception=assertThrows(InvalidImportException.class`() -> keycloakImportProvider.readFromLocations(""classpath::""));"" is 138.",230
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnUnknownPath,Long Statement,"The length of the statement ""assertThat(exception.getMessage()`is(""Unable to proceed resource 'class path resource [:]': class path resource [:] cannot be opened because it does not exist""));"" is 162.",230
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnInvalidClassPath,Long Statement,"The length of the statement ""InvalidImportException exception=assertThrows(InvalidImportException.class`() -> keycloakImportProvider.readFromLocations(""classpath:/invalid/**""));"" is 148.",237
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnInvalidClassPath,Long Statement,"The length of the statement ""assertThat(exception.getMessage()`is(""Unable to proceed location 'classpath:/invalid/**': class path resource [invalid/] cannot be resolved to URL because it does not exist""));"" is 176.",237
keycloak-config-cli,de.adorsys.keycloak.config.provider,KeycloakImportProviderIT,shouldFailOnInvalidFile,Long Statement,"The length of the statement ""InvalidImportException exception=assertThrows(InvalidImportException.class`() -> keycloakImportProvider.readFromLocations(""invalid""));"" is 134.",244
